id,App,sizeInMB,price,RatingNum,Rating,ver,Category,sup_devices.num,lang.num
281656475,PAC-MAN Premium,96.119,3.99,21292,4.0,6.3.5,Games,38,10
281796108,Evernote - stay organized,151.232,0.0,161065,4.0,8.2.2,Productivity,37,23
281940292,"WeatherBug - Local Weather, Radar, Maps, Alerts",95.867,0.0,188583,3.5,5.0.0,Weather,37,3
282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",122.559,0.0,262241,4.0,5.10.0,Shopping,37,9
282935706,Bible,88.477,0.0,985920,4.5,7.5.1,Reference,37,45
283619399,Shanghai Mahjong,10.000,0.99,8253,4.0,1.8,Games,47,1
283646709,PayPal - Send and request money safely,217.243,0.0,119487,4.0,6.12.0,Finance,37,19
284035177,Pandora - Music & Radio,124.209,0.0,1126879,4.0,8.4.1,Music,37,1
284666222,PCalc - The Best Calculator,46.969,9.99,1117,4.5,3.6.6,Utilities,37,1
284736660,Ms. PAC-MAN,66.779,3.99,7885,4.0,4.0.4,Games,38,10
284791396,Solitaire by MobilityWare,47.320,4.99,76720,4.5,4.10.1,Games,38,11
284815117,SCRABBLE Premium,217.006,7.99,105776,3.5,5.19.0,Games,37,6
284815942,Google – Search made just for mobile,171.642,0.0,479440,3.5,27.0,Utilities,37,33
284847138,Bank of America - Mobile Banking,153.471,0.0,119773,3.5,7.3.8,Finance,37,2
284862767,FreeCell,52.599,4.99,6340,4.5,4.0.3,Games,38,2
284876795,TripAdvisor Hotels Flights Restaurants,198.276,0.0,56194,4.0,21.1,Travel,37,26
284882215,Facebook,371.818,0.0,2974676,3.5,95.0,Social Networking,37,29
284910350,"Yelp - Nearby Restaurants, Shopping & Services",159.652,0.0,223885,4.0,11.15.0,Travel,37,18
284993459,"Shazam - Discover music, artists, videos & lyrics",140.279,0.0,402925,4.0,11.0.3,Music,37,16
285005463,Crash Bandicoot Nitro Kart 3D,10.238,2.99,31456,4.0,1.0.0,Games,47,1
285946052,iQuran,67.432,1.99,2929,4.5,3.3,Reference,43,2
285994151,:) Sudoku +,5.884,2.99,11447,5.0,5.2.6,Games,40,1
286058814,"Yahoo Sports - Teams, Scores, News & Highlights",124.534,0.0,137951,4.0,6.9,Sports,37,6
